FTEN20200315900,TENET (TRL. F2) 2D,WARNER BROS. MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,2/1/2020
FCBM20200316328,TUJU-TUJU,MADNESS FILMS SDN. BHD.,LULUS BERSIH (LB),P13,2/1/2020
FTKT20200316367,ALL'S WELL END'S WELL 2020,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS BERSIH DENGAN PENGUBAHAN LAIN (LBP),U,3/1/2020
FTBM20200316376,ZOMBITOPIA,YUSARI FILEM SDN. BHD.,LULUS BERSIH (LB),U,3/1/2020
FCIN20200316381,RUMAH KENTANG: THE BEGINING,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),18,3/1/2020
FCBM20200316377,MIIMALAND,MICO STUDIO (M) SDN. BHD.,LULUS BERSIH (LB),P13,3/1/2020
FCTM20200316402,MR.PEYII,UNISON PRODUCTION SDN BHD,LULUS BERSIH (LB),P13,3/1/2020
FTEN20200316396,DOLITTLE LUNAR NEW YEAR GREETING PSA (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,6/1/2020
FCHD20200316432,TANHAJI,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),18,6/1/2020
FTHD20200316433,TANHAJI (TRELER 1),SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,6/1/2020
FTHD20200316434,TANHAJI (TRELER 2),SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,6/1/2020
FTKT20200316391,GOOD WEALTH 2020,JET POH ASIA MEDIA SDN BHD,LULUS BERSIH (LB),U,6/1/2020
FMJP20200316444,"LOVE LIVE ! NIJIGASAKI HIGH SCHOOL CLUB IDOL FIRST LIVE "" WITH YOU """,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,7/1/2020
FCTL20200316413,ALA VAIKUNTHAPURAMLO,MSK FILM PRODUCTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,7/1/2020
FCKT20200316256,AMAZING SPRING,THE FILM ENGINE SDN. BHD.,LULUS BERSIH (LB),P13,7/1/2020
FCTL20200316431,SARILERU NEEKEVVARU,SUARA NETWORKS AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,8/1/2020
FCKT20200316296,AH BENG THE MOVIE MISSION IMPOSSIBLE,THE FILM ENGINE SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,8/1/2020
FCKT20200316271,HUAT THE FISH,THE FILM ENGINE SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,8/1/2020
FTMD20200316507,THE RESCUE,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,8/1/2020
FCBM20200316517,ABANG LONG FADIL 3,SKOP PRODUCTIONS SDN. BHD.,LULUS BERSIH (LB),P13,8/1/2020
FCTM20200316425,PATTAS,DMY CREATION SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,8/1/2020
FCTM20200316427,PON MANICKAVEL,DMY CREATION SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,8/1/2020
FCEN20200316429,AIYAI,DMY CREATION SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,8/1/2020
FCTM20200316428,50/50,DMY CREATION SDN. BHD.,LULUS BERSIH (LB),P13,8/1/2020
FTMD20200316519,DETECTIVE CHINATOWN 3,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,8/1/2020
FTEN20200316525,TROLLS WORLD TOUR (TRL. D) 2D,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,9/1/2020
FTEN20200316526,RESPECT (TRL. A) 2D,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,9/1/2020
FTTH20200316534,HAPPY OLD YEAR,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),U,9/1/2020
FTMD20200316537,THE RESCUE (PSA),MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,9/1/2020
FCMD20200316545,THE RESCUE,MM2 FILM DISTRIBUTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,9/1/2020
FTEN20200316562,THE WALL STREET GIRL - TRL,TGV PICTURES SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),U,10/1/2020
FTKT20200316566,THE GRAND GRANDMASTER,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,10/1/2020
FTKT20200316574,ENTER FAT DRAGON ,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,10/1/2020
FCKT20200316583,VANGUARD - 2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,10/1/2020
FCKT20200316581,ENTER FAT DRAGON -2D ,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,10/1/2020
FCEN20200316586,LITTLE WOMEN (2D),SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,13/1/2020
FCIN20200316522,SI MANIS JEMBATAN ANCOL,NUSANTARA SENI KARYA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,13/1/2020
FTEN20200316638,THE GENTLEMEN,TGV PICTURES SDN. BHD.,LULUS BERSIH (LB),U,13/1/2020
FCIN20200316631,PEREMPUAN TANAH JAHANAM,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),18,13/1/2020
FCKT20200316671,ALL'S WELL END'S WELL 2020 - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,13/1/2020
FTTM20200316685,SANTHITTHA NAAL MUTHAL - 110SAAT,TOP MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),U,14/1/2020
FCMD20200316747,JIANG ZIYA : LEGEND OF DEIFICATION - 2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,14/1/2020
FCHD20200316756,PANGA,ANTENNA ENTERTAINMENTS SDN BHD,LULUS BERSIH (LB),P13,15/1/2020
FTEN20200316740,MORBIUS (TRL. B) 2D,SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,15/1/2020
FCEN20200316587,FANTASY ISLAND (2D),SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,15/1/2020
FCTM20200316769,RAJAVUKKU CHECK -2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,15/1/2020
FCJM20200316780,DETECTIVE CHINATOWN 3,MM2 FILM DISTRIBUTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,15/1/2020
FTMD20200316784,THE RESCUE - CNY GREETING,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,15/1/2020
FTBM20200316721,TOWN MALL,ENUJA PRODUCTION SDN. BHD.,LULUS BERSIH (LB),U,15/1/2020
FCGE20200316714,BLUE MOUNTAINS OR UNBELIEVABLE STORY,EMBASSY OF GEORGIA,LULUS BERSIH (LB),P13,15/1/2020
FTJP20200316748,HER BLUE SKY,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,15/1/2020
FTMD20200316746,JIANG ZIYA : LEGEND OF DEIFICATION,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,15/1/2020
FAJP20200316749,HER BLUE SKY - 2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,15/1/2020
FTBM20200316805,JODOH SYAITAN,EMPIRE FILM SOLUTION SDN.BHD.,LULUS BERSIH (LB),U,15/1/2020
FTKT20200316815,KIDNAPPED,TOUCHLAND ENTERTAINMENT SDN BHD,LULUS BERSIH (LB),U,16/1/2020
FCEN20200316781,BIRDS OF PREY: AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN (2D),WARNER BROS. MALAYSIA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,16/1/2020
FCEN20200316820,DOWNHILL (2D),THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),18,16/1/2020
FCBM20200316826,ZOMBITOPIA,YUSARI FILEM SDN. BHD.,LULUS BERSIH (LB),P13,16/1/2020
FCTM20200316821,PSYCHO ,MSK FILM PRODUCTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),18,16/1/2020
FCKT20200316833,THE GRAND GRANDMASTER -2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,16/1/2020
FCTM20200316840,OH MY KADAVULE - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,16/1/2020
FCHD20200316850,STREET DANCER,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,17/1/2020
FTEN20200316851,BLOODSHOT (TRL. L) 2D,SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,17/1/2020
FCEN20200316822,THE GENTLEMEN - 2D,TGV PICTURES SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,17/1/2020
FCEN20200316862,SONIC THE HEDGEHOG (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),P13,20/1/2020
FTKR20200316943,HITMAN : AGENT JUN,ATRINAGA SDN BHD,LULUS BERSIH (LB),U,21/1/2020
FCMD20200316977,THE RESCUE,MM2 FILM DISTRIBUTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,21/1/2020
FCTM20200316993,VAANAM KOTTATTUM - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,22/1/2020
FTBM20200316968,EYE ON THE BALL,SMG ENTERTAINMENT SDN BHD,LULUS BERSIH (LB),U,22/1/2020
FTEN20200316996,THE SECRET GARDEN,TGV PICTURES SDN. BHD.,LULUS BERSIH (LB),U,22/1/2020
FCEN20200317000,ONWARD (2D),THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),P13,22/1/2020
FTEN20200317014,GUNS AKIMBO,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),U,22/1/2020
FTIN20200317015,JERITAN MALAM,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,22/1/2020
FTBM20200316911,TUJU-TUJU,MADNESS FILMS SDN. BHD.,LULUS BERSIH (LB),U,22/1/2020
FTHD20200317020,JAWAANI JAANEMAN,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),U,22/1/2020
FCHD20200317021,JAWAANI JAANEMAN,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),18,22/1/2020
FTTW20200317034,DO YOU LOVE ME AS I LOVE YOU,RAM ENTERTAINMENT SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),U,22/1/2020
FCTM20200317059,DAMAYANTHI,KS MOVIE SDN BHD,LULUS BERSIH (LB),P13,23/1/2020
FTMD20200317058,CRAZE BELOW THE WIND,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,23/1/2020
FCMD20200317064,CRAZE BELOW THE WIND,MM2 FILM DISTRIBUTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,23/1/2020
FCTM20200317110,TAMANI,CINI SHATRIYA SDN. BHD.,LULUS BERSIH (LB),P13,23/1/2020
FTTM20200317112,TAMANI,CINI SHATRIYA SDN. BHD.,LULUS BERSIH (LB),U,23/1/2020
FCTM20200317133,DACKALTI - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,24/1/2020
FCTM20200317134,NAADODIGAL 2 - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,24/1/2020
FCTH20200317145,HAPPY OLD YEAR,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,24/1/2020
FTTG20200317146,HEIRESS,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,24/1/2020
FCTM20200317070,SERVER SUNDRAM,TSR FILMS SDN. BHD.,LULUS BERSIH DENGAN PENGUBAHAN LAIN (LBP),P13,24/1/2020
FCPR20200317197,THE ROYAL EXCHANGE,EMBASSY OF FRANCE IN MALAYSIA,LULUS BERSIH (LB),18,28/1/2020
FCPR20200317198,SOMEONE SOMEWHERE,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),18,28/1/2020
FCTM20200317212,VANMURAI - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,29/1/2020
FCEN20200317229,GUN AKIMBO,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),18,29/1/2020
FTBM20200317215,ROCK 4 : ROCKERS NEVER DAI 90 SEC,PRIMEWORKS STUDIOS SDN. BHD.,LULUS BERSIH (LB),U,30/1/2020
FTBM20200317216,ROCK 4 : ROCKERS NEVER DAI 30 SEC,PRIMEWORKS STUDIOS SDN. BHD.,LULUS BERSIH (LB),U,30/1/2020
FCTM20200317184,SEERU,DMY CREATION SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,30/1/2020
FCTM20200317273,SANDIMUNI,KS MOVIE SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,30/1/2020
FCKT20200317265,YOU ARE THE ONE - 2D,YUSARI FILEM SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,30/1/2020
FTIN20200317281,AKU TAHU KAPAN KAMU MATI,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,30/1/2020
FCTM20200317286,NAAN SIRITHAL,DMY CREATION SDN. BHD.,LULUS BERSIH (LB),P13,31/1/2020
FCKR20200317335,HITMAN : AGENT JUN,ATRINAGA SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,31/1/2020
FCTM20200317267,MOONDRAM ATHIGHARAM : THE THIRD RULE,KALKI PRODUCTION GROUP SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,31/1/2020
FCMD20200317360,YOUR LOVE SONG,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),P13,31/1/2020
FCHD20200317398,MALANG,NUSANTARA SENI KARYA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,31/1/2020
FCEN20200317340,DOWNHILL (2D),THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),18,3/2/2020
FCIN20200317444,RASUK 2,ANTENNA ENTERTAINMENTS SDN BHD,LULUS BERSIH (LB),P13,3/2/2020
FTMD20200317454,YOUR LOVE SONG,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,3/2/2020
FCKR20200317246,SECRET ZOO - 2D,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,3/2/2020
FCMD20200317247,WET SEASON - 2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,3/2/2020
FCEN20200317486,ONWARD (2D),THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),P13,4/2/2020
FCEN20200317487,THE CALL OF THE WILD (2D),THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),P13,5/2/2020
FCTL20200317483,JAANU,SUARA NETWORKS AV (M) SDN. BHD.,LULUS BERSIH (LB),P13,5/2/2020
FTHD20200317539,MALANG,NUSANTARA SENI KARYA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),U,5/2/2020
FCBM20200317556,REMP - IT 2,EMPIRE FILM SOLUTION SDN.BHD.,LULUS BERSIH (LB),P13,6/2/2020
FTTH20200317568,NECROMANCER 2020,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,6/2/2020
FTKR20200317569,SECRET ZOO ,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,6/2/2020
FTJP20200317571,KONOSUBA : GOD'S BLESSING ON THIS WONDERFUL WORLD LEGEND OF CRIMSON,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),U,6/2/2020
FTEN20200317572,COMA ,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,6/2/2020
FTBM20200317580,BULAN DAN PRIA TERHEBAT,SKOP FILM DISTRIBUTIONS SDN BHD,LULUS BERSIH (LB),U,6/2/2020
FCHD20200317597,LOVE AAJ KAL,ANTENNA ENTERTAINMENTS SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),18,7/2/2020
FTEN20200317586,RUMBLE (TRL. A) 2D ,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,7/2/2020
FCTM20200317599,GODFATHER,KS MOVIE SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,7/2/2020
FTBM20200314082,ROH,KUMAN PICTURES SDN BHD,LULUS BERSIH (LB),U,7/2/2020
FCEN20200317543,THE INVISIBLE MAN (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS DENGAN PENGUBAHAN (LDP),18,10/2/2020
FCTL20200317660,WORLD FAMOUS LOVER,SUARA NETWORKS AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,10/2/2020
FTIN20200317607,MANGKUJIWO,NUSANTARA SENI KARYA SDN. BHD.,LULUS BERSIH (LB),U,10/2/2020
FTEN20200317674,FAST AND FURIOUS 9 (TRL. A) 2D,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,10/2/2020
FMJP20200317668,LOVE LIVE ! SERIES 9TH ANNIVERSARY LOVELIVE! FEST,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,10/2/2020
FCEN20200317669,BRAHMS: THE BOY 2 -2D,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,10/2/2020
FCTH20200317670,NECROMANCER 2020 -2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),18,10/2/2020
FCPR20200317201,SELFIE,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),18,10/2/2020
FCPR20200317194,OF LOVE AND LIES ,EMBASSY OF FRANCE IN MALAYSIA,LULUS BERSIH (LB),P13,10/2/2020
FCPR20200317192,ARAB BLUES,EMBASSY OF FRANCE IN MALAYSIA,LULUS BERSIH (LB),18,10/2/2020
FCPR20200317210,CONVICTION ,EMBASSY OF FRANCE IN MALAYSIA,LULUS BERSIH (LB),P13,10/2/2020
FCPR20200317191,IN THE NAME OF THE LAND ,EMBASSY OF FRANCE IN MALAYSIA,LULUS BERSIH (LB),18,10/2/2020
FCPR20200317209,GUY,EMBASSY OF FRANCE IN MALAYSIA,LULUS BERSIH (LB),18,10/2/2020
FAPR20200317199,LE VOYAGE DU PRINCE ,EMBASSY OF FRANCE IN MALAYSIA,LULUS BERSIH (LB),P13,10/2/2020
FCPR20200317204,PAPER FLAGS ,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),18,10/2/2020
FCPR20200317202,LE MYSTERE HENRI PICK ,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),P13,10/2/2020
FCPR20200317205,KEEP GOING ,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),P13,10/2/2020
FCPR20200317208,FATHER AND SONS ,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),18,10/2/2020
FCTM20200317638,ADHO ANDHA PARAVAI POLA,DMY CREATION SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,10/2/2020
FTBM20200317585,TAKUT KE TAK,JAZZY PICTURES (M) SDN. BHD.,LULUS BERSIH (LB),U,10/2/2020
FCEN20200317712,ANTLERS (2D),THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,11/2/2020
FCKT20200317657,CALL ME AGENT,EVO PICTURES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,11/2/2020
FCPR20200317195,VENICE CALLING,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),18,11/2/2020
FCPR20200317200,SPREAD YOUR WINGS,EMBASSY OF FRANCE IN MALAYSIA,LULUS DENGAN PENGUBAHAN (LDP),U,11/2/2020
FCKR20200317671,THE CLOSET -2D,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,11/2/2020
FCTM20200317796,MAFIA CHAPTER - 1,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,12/2/2020
FTEN20200317801,MINIONS: THE RISE OF GRU (TRL. A) 2D,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,13/2/2020
FCEN20200317802,BLOODSHOT (2D),SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,13/2/2020
FTHD20200317821,BHOOT-PART ONE: THE HAUNTED SHIP,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,13/2/2020
FTJP20200317842,KAMEN RIDER REIWA THE FIRST GENERATION,ATRINAGA SDN BHD,LULUS BERSIH (LB),U,13/2/2020
FTEN20200317845,THE INVISIBLE MAN (STEPS PSA) 2D,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,14/2/2020
FTBM20200317758,KENDERAAN BERAT IKUT KIRI,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,14/2/2020
FAJP20200317807,KONOSUBA : GOD'S BLESSING ON THIS WONDERFUL WORLD! - LEGEND OF CRIMSON -2D,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,14/2/2020
FCTM20200317762,ATHIGAARI,JHANGRI PRODUCTION HOUSE SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,14/2/2020
FCJP20200317888,KAMEN RIDER REIWA THE FIRST GENERATION,ATRINAGA SDN BHD,LULUS BERSIH (LB),P13,16/2/2020
FCHD20200317890,BHOOT-PART ONE: THE HAUNTED SHIP,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,17/2/2020
FCEN20200317947,THE HUNT (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS DENGAN PENGUBAHAN (LDP),18,18/2/2020
FCEN20200317952,THE INVISIBLE MAN (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),18,18/2/2020
FTEN20200317954,PETER RABBIT 2 (TRL. J) 2D,SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,18/2/2020
FCMY20200317990,MIDNIGHT -2D,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,18/2/2020
FTEN20200317960,JUNGLE CRUISE (TRL. A) 2D,THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),U,19/2/2020
